trees,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
400,8,0.001,rmse,standard,12.869638516796822,5,0.10678835496219799,pre0_mod29_post0
400,8,0.001,rsq,standard,0.5134193820994567,5,0.015200290236187986,pre0_mod29_post0
400,8,0.004641588833612777,rmse,standard,10.531256932452198,5,0.18409012447481002,pre0_mod30_post0
400,8,0.004641588833612777,rsq,standard,0.5359144810774287,5,0.014724875568734905,pre0_mod30_post0
400,8,0.021544346900318832,rmse,standard,10.509963218564561,5,0.18106397915582037,pre0_mod31_post0
400,8,0.021544346900318832,rsq,standard,0.5287904016342982,5,0.011940929591563607,pre0_mod31_post0
400,8,0.1,rmse,standard,11.025921683096186,5,0.1710949888927572,pre0_mod32_post0
400,8,0.1,rsq,standard,0.49233197123602945,5,0.01045217104106421,pre0_mod32_post0
700,3,0.001,rmse,standard,12.579489840350686,5,0.08942161161972517,pre0_mod33_post0
700,3,0.001,rsq,standard,0.4542313895625247,5,0.008556894399632808,pre0_mod33_post0
700,3,0.004641588833612777,rmse,standard,10.718962360657079,5,0.12755557008610824,pre0_mod34_post0
700,3,0.004641588833612777,rsq,standard,0.5149186760021935,5,0.00822392367685642,pre0_mod34_post0
700,3,0.021544346900318832,rmse,standard,10.367109930140408,5,0.14424151028258128,pre0_mod35_post0
700,3,0.021544346900318832,rsq,standard,0.5393335003309513,5,0.008680577944784643,pre0_mod35_post0
700,3,0.1,rmse,standard,10.598736711641365,5,0.15293517930774486,pre0_mod36_post0
700,3,0.1,rsq,standard,0.5215598513608725,5,0.00947266586056916,pre0_mod36_post0
700,4,0.001,rmse,standard,12.3011078842981,5,0.1035793764742503,pre0_mod37_post0
700,4,0.001,rsq,standard,0.4861232488316101,5,0.008622218268814832,pre0_mod37_post0
700,4,0.004641588833612777,rmse,standard,10.492510547930106,5,0.1454717038904236,pre0_mod38_post0
700,4,0.004641588833612777,rsq,standard,0.5316399976547599,5,0.009259917107970717,pre0_mod38_post0
700,4,0.021544346900318832,rmse,standard,10.353355380997684,5,0.14958938241268321,pre0_mod39_post0
700,4,0.021544346900318832,rsq,standard,0.5408476930923435,5,0.00916029640008914,pre0_mod39_post0
700,4,0.1,rmse,standard,10.789166974508714,5,0.1602099405582827,pre0_mod40_post0
700,4,0.1,rsq,standard,0.5088427479918113,5,0.010016111142155266,pre0_mod40_post0
700,6,0.001,rmse,standard,11.971368077322289,5,0.12171324780096622,pre0_mod41_post0
700,6,0.001,rsq,standard,0.5160458785464277,5,0.012869564572253914,pre0_mod41_post0
700,6,0.004641588833612777,rmse,standard,10.372084878081807,5,0.1878227018563669,pre0_mod42_post0
700,6,0.004641588833612777,rsq,standard,0.54005950787736,5,0.013019007558693098,pre0_mod42_post0
700,6,0.021544346900318832,rmse,standard,10.51468229012725,5,0.17589038148969807,pre0_mod43_post0
700,6,0.021544346900318832,rsq,standard,0.528466076109885,5,0.011089748866770065,pre0_mod43_post0
700,6,0.1,rmse,standard,11.09911449526158,5,0.14895695973172166,pre0_mod44_post0
700,6,0.1,rsq,standard,0.487811647581687,5,0.00910268533567679,pre0_mod44_post0
700,8,0.001,rmse,standard,11.85176799812704,5,0.13244938285191993,pre0_mod45_post0
700,8,0.001,rsq,standard,0.5209364201172524,5,0.015432508773309981,pre0_mod45_post0
700,8,0.004641588833612777,rmse,standard,10.385298201931105,5,0.20225124017744606,pre0_mod46_post0
700,8,0.004641588833612777,rsq,standard,0.5379694919888034,5,0.014390283923615707,pre0_mod46_post0
700,8,0.021544346900318832,rmse,standard,10.675465657430491,5,0.17927564269271135,pre0_mod47_post0
700,8,0.021544346900318832,rsq,standard,0.5166872958412535,5,0.011698502978966642,pre0_mod47_post0
700,8,0.1,rmse,standard,11.122229568472914,5,0.17825264958586076,pre0_mod48_post0
700,8,0.1,rsq,standard,0.48581271755268696,5,0.010949899107977692,pre0_mod48_post0
1000,3,0.001,rmse,standard,12.037260571593201,5,0.09755923880728401,pre0_mod49_post0
1000,3,0.001,rsq,standard,0.464727363881871,5,0.009058996592598907,pre0_mod49_post0
1000,3,0.004641588833612777,rmse,standard,10.559679976665686,5,0.1336110146338095,pre0_mod50_post0
1000,3,0.004641588833612777,rsq,standard,0.5250973588643894,5,0.00821777696962926,pre0_mod50_post0
1000,3,0.021544346900318832,rmse,standard,10.373353049599078,5,0.15307306374288973,pre0_mod51_post0
1000,3,0.021544346900318832,rsq,standard,0.5388315321423226,5,0.009438082954628307,pre0_mod51_post0
1000,3,0.1,rmse,standard,10.718637795243072,5,0.15743885407568578,pre0_mod52_post0
