dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration,total_days,days_absent,days_present,percent_attend,20plus_days,chronic_absent,percent_chronic
21K540,84%,74%,57%,86%,79%,56%,82%,68%,50%,83%,81%,2012-2013,P,D,D,P,D,59619.114285714284,7235.20202020202,55613.02777777778,86.89318181818189,400.510101010101,92.08607594936709,25.573417721518993
21K559,85%,91%,49%,93%,92%,40%,82%,68%,50%,72%,85%,2012-2013,P,P,P,P,P,8018.742014742014,1280.9477124183006,8371.54248366013,86.49248366013079,63.69281045751634,26.179738562091504,41.44019607843139
21K572,92%,75%,56%,86%,81%,64%,82%,68%,50%,81%,89%,2012-2013,P,P,WD,P,WD,8848.481927710844,1523.0873239436619,8431.0338028169,83.97971830985915,62.27323943661972,28.85269121813031,47.3549575070821
21K620,54%,61%,38%,73%,57%,27%,82%,68%,50%,81%,74%,2012-2013,P,D,D,WD,D,14540.258992805755,3033.906626506024,14370.762048192772,82.76626506024094,112.54518072289157,51.355421686746986,45.36506024096384
21K690,78%,76%,61%,83%,78%,55%,82%,68%,50%,55%,76%,2013-2014,P,D,D,D,D,16996.895705521474,1947.2046263345196,17375.896797153026,90.29234875444837,119.20818505338079,38.071174377224196,30.417259786476844
22K405,92%,85%,74%,93%,89%,74%,82%,68%,50%,93%,82%,2013-2014,P,P,P,P,P,111995.72792362768,8059.384039900249,108532.29177057356,92.03142144638409,715.852867830424,131.67830423940148,21.699251870324176
22K425,80%,75%,60%,85%,76%,63%,82%,68%,50%,80%,70%,2013-2014,D,D,P,WD,P,89524.96846846846,7969.555214723926,102740.31288343559,92.3880368098159,697.5398773006135,112.58899676375404,17.022653721682843
22K555,97%,97%,92%,97%,99%,90%,82%,68%,50%,37%,93%,2013-2014,WD,WD,P,WD,P,17706.028985507248,823.4362017804154,18136.66172106825,95.45667655786346,115.64985163204747,11.626865671641792,10.510149253731335
23K493,66%,55%,49%,62%,56%,40%,82%,68%,50%,71%,72%,2013-2014,P,D,P,P,P,8811.894988066826,2022.1340996168583,10286.022988505747,83.04980842911877,81.96551724137932,39.25868725868726,48.66563706563704
23K697,63%,73%,55%,74%,67%,47%,82%,68%,50%,51%,55%,2012-2013,D,D,D,D,P,6971.332136445242,1776.75,8014.66091954023,81.69454022988499,64.5316091954023,30.201149425287355,48.655747126436744
24Q293,93%,85%,59%,94%,80%,81%,85%,71%,56%,84%,97%,2013-2014,P,D,D,WD,P,14154.568720379148,1535.0418994413408,14129.438547486034,90.23575418994413,97.13966480446928,30.48169014084507,30.78450704225352
24Q296,65%,42%,33%,90%,50%,27%,85%,71%,56%,83%,87%,2013-2014,D,D,P,P,P,15060.923076923076,1735.6350710900474,17400.431279620854,90.10758293838866,126.63981042654028,34.51184834123223,29.233175355450246
24Q455,82%,61%,49%,80%,65%,40%,85%,71%,56%,88%,86%,2012-2013,D,D,D,D,D,53288.77142857143,6855.4820512820515,50374.11282051282,87.57820512820514,376.70512820512823,111.34871794871795,30.062820512820508
24Q485,70%,60%,37%,73%,58%,38%,85%,71%,56%,79%,76%,2013-2014,P,D,P,WD,P,48453.43058823529,9285.177545691906,43257.318537859006,82.60104438642304,341.8798955613577,158.07915567282322,45.11477572559367
24Q520,83%,74%,69%,81%,70%,50%,85%,71%,56%,80%,88%,2013-2014,P,P,P,P,D,15023.210126582278,1264.935064935065,16628.623376623378,92.97987012987011,111.76623376623377,22.628664495114005,19.799348534201947
24Q550,90%,83%,63%,91%,85%,58%,85%,71%,56%,75%,91%,2010-2011,WD,P,P,WD,P,23630.150121065377,2421.692957746479,24257.921126760564,90.67408450704218,166.34647887323945,44.82436260623229,27.971954674220942
24Q560,91%,86%,68%,93%,82%,73%,85%,71%,56%,81%,93%,2012-2013,D,D,D,P,D,12362.345276872964,1130.968487394958,13757.552521008403,92.91197478991593,90.33823529411765,19.418067226890756,18.89642857142858
24Q600,87%,80%,55%,82%,80%,62%,85%,71%,56%,74%,82%,2011-2012,WD,WD,WD,WD,WD,44567.76354679803,4846.65,45869.373529411765,89.70764705882353,312.99117647058824,72.82544378698225,24.530473372781078
25Q252,89%,92%,90%,87%,93%,86%,85%,71%,56%,60%,85%,2013-2014,WD,P,D,WD,D,10821.990783410138,666.8805394990366,11816.953757225434,94.38959537572256,74.35260115606937,10.876447876447877,15.350193050193058
25Q263,85%,70%,51%,71%,69%,58%,85%,71%,56%,88%,90%,2011-2012,P,P,P,P,P,12320.296296296296,1566.291338582677,15279.062992125984,90.37047244094492,108.94488188976378,30.0748031496063,28.295669291338573
25Q281,86%,92%,75%,87%,92%,80%,85%,71%,56%,71%,86%,2011-2012,WD,P,P,WD,WD,12342.109422492402,814.0612244897959,13747.749536178108,93.57588126159561,86.68831168831169,14.37291280148423,19.18608534322822
25Q285,98%,91%,76%,99%,95%,80%,85%,71%,56%,36%,84%,2011-2012,WD,WD,WD,WD,WD,11371.64500792393,878.5330661322645,11882.376753507015,93.06132264529063,76.25050100200401,15.551102204408817,20.539078156312623
25Q425,80%,66%,47%,82%,66%,51%,85%,71%,56%,79%,75%,2012-2013,P,P,P,P,P,99539.74285714286,15525.79326923077,84933.20432692308,84.34639423076922,646.8125,253.77884615384616,39.58533653846155
25Q460,68%,54%,41%,70%,57%,39%,85%,71%,56%,73%,67%,2013-2014,D,D,D,D,P,52816.704225352114,9429.687165775402,49565.641711229946,83.75882352941179,387.4465240641711,172.7560975609756,44.814092140921424
25Q670,89%,81%,75%,81%,82%,65%,85%,71%,56%,74%,90%,2013-2014,P,WD,WD,WD,P,20298.576923076922,2107.9319371727747,19657.90052356021,90.01727748691097,136.82722513089004,40.02368421052632,29.346315789473685
26Q415,82%,87%,73%,87%,84%,76%,85%,71%,56%,83%,75%,2013-2014,P,P,D,P,D,101876.34285714285,7786.348557692308,94963.36298076923,91.45360576923079,639.9423076923077,131.16826923076923,23.382932692307698
26Q430,92%,86%,77%,93%,86%,74%,85%,71%,56%,95%,93%,2011-2012,P,P,P,P,WD,120381.12676056338,9900.240932642488,119501.17098445595,91.43678756476677,801.0025906735751,156.91601049868765,22.29107611548555
26Q435,76%,53%,40%,65%,54%,45%,85%,71%,56%,70%,55%,2012-2013,D,D,D,D,D,40320.05714285714,5991.514423076923,34699.824519230766,85.38028846153847,266.1442307692308,110.95192307692308,41.63894230769232
26Q566,82%,90%,74%,86%,90%,74%,85%,71%,56%,65%,77%,2012-2013,WD,P,WD,WD,P,30701.494089834516,3135.889855072464,31877.53043478261,90.80028985507248,217.21159420289854,58.08479532163743,26.706432748538006
27Q260,79%,52%,40%,66%,59%,38%,85%,71%,56%,55%,72%,2013-2014,D,D,D,P,D,10660.608478802993,2539.9169329073484,10592.35463258786,80.888178913738,88.8849840255591,47.361022364217256,53.13546325878593
27Q262,89%,86%,61%,99%,97%,66%,85%,71%,56%,82%,88%,2011-2012,WD,P,P,P,P,14564.109589041096,1524.2211350293542,15866.606653620353,91.19941291585128,104.52837573385519,30.489236790606654,28.66594911937377
27Q302,76%,61%,46%,84%,72%,28%,85%,71%,56%,78%,75%,2013-2014,D,D,D,D,P,11627.423076923076,2138.099099099099,11968.972972972973,84.39639639639641,92.13213213213213,42.62613981762918,47.19270516717326
27Q308,91%,90%,65%,89%,95%,72%,85%,71%,56%,77%,86%,2013-2014,P,D,P,P,P,17288.763723150358,1382.4297082228118,17122.546419098144,92.32625994694966,114.73740053050398,26.23872679045093,24.203183023872693
27Q309,69%,65%,67%,81%,59%,55%,85%,71%,56%,80%,71%,2012-2013,P,P,P,P,P,11409.973094170404,1665.2025316455697,11775.645569620254,87.75406871609401,84.15189873417721,32.7377938517179,37.818444846292934
27Q400,31%,39%,24%,66%,40%,24%,85%,71%,56%,59%,57%,2012-2013,D,D,D,D,P,13652.600484261502,3182.3201219512193,13408.573170731708,81.83262195121956,111.16463414634147,59.74390243902439,51.60884146341465
27Q475,73%,58%,39%,74%,52%,36%,85%,71%,56%,80%,78%,2013-2014,D,P,D,P,D,53053.8,8010.30904522613,47855.64824120603,85.21532663316586,366.1708542713568,149.65075376884423,41.96155778894474
27Q480,78%,52%,40%,76%,55%,34%,85%,71%,56%,76%,70%,2013-2014,P,P,P,P,P,66604.64788732394,10940.63,58611.4,83.54699999999998,458.8175,203.65989847715736,45.53071065989849
27Q650,97%,98%,82%,99%,95%,74%,85%,71%,56%,70%,89%,2011-2012,WD,P,P,P,P,28624.8115942029,1832.6504065040651,27969.457994579945,93.46504065040641,182.06233062330622,30.132791327913278,17.93414634146341
28Q310,93%,80%,63%,90%,80%,68%,85%,71%,56%,69%,81%,2013-2014,P,P,D,P,D,12227.289833080426,1376.0434782608695,12652.518115942028,89.90471014492756,85.65760869565217,25.518115942028984,29.781159420289864
28Q350,86%,95%,80%,81%,82%,78%,85%,71%,56%,79%,82%,2013-2014,P,P,P,WD,P,14049.956834532373,1575.8640226628895,14388.481586402266,89.55524079320118,100.86118980169972,30.41926345609065,32.03767705382436
28Q505,83%,72%,56%,85%,74%,60%,85%,71%,56%,95%,89%,2013-2014,WD,WD,P,WD,WD,88399.83561643836,12186.891304347826,86143.17934782608,86.82907608695653,628.4021739130435,204.71794871794873,33.886609686609674
28Q680,100%,97%,83%,97%,95%,91%,85%,71%,56%,31%,79%,2013-2014,WD,P,WD,WD,WD,14094.188087774295,614.672480620155,15051.635658914729,95.89573643410846,92.65503875968992,7.5484496124031,8.74031007751937
28Q690,65%,76%,58%,57%,74%,50%,85%,71%,56%,60%,65%,2012-2013,D,D,D,P,D,14963.829787234043,1838.2896341463415,16053.646341463415,89.3960365853659,113.84146341463415,34.34461538461539,31.052307692307703
28Q896,90%,87%,93%,97%,85%,79%,85%,71%,56%,58%,82%,2013-2014,P,D,D,WD,D,11230.649006622516,853.2242990654206,13470.235981308411,93.66612149532716,85.2733644859813,14.883177570093459,18.747429906542077
29Q259,74%,75%,51%,79%,81%,59%,85%,71%,56%,75%,67%,2013-2014,D,D,D,P,D,11196.889589905362,1150.4363636363637,13816.452272727272,91.90818181818182,91.27954545454546,15.01590909090909,17.186136363636376
29Q272,81%,80%,50%,80%,84%,56%,85%,71%,56%,54%,66%,2013-2014,P,D,P,P,P,13513.464114832535,1835.065625,14531.64375,88.454375,106.36875,34.021875,32.982187499999995
29Q283,84%,80%,62%,88%,81%,54%,85%,71%,56%,88%,82%,2013-2014,P,WD,P,WD,WD,11046.785942492013,1388.5892857142858,12827.859375,90.12566964285722,87.78348214285714,21.950892857142858,24.378348214285683
29Q492,87%,69%,55%,80%,66%,50%,85%,71%,56%,71%,68%,2012-2013,P,P,P,P,P,11629.009615384615,2114.7189349112427,11414.275147928995,84.1002958579882,89.91124260355029,38.349112426035504,42.2896449704142
29Q498,78%,74%,51%,71%,78%,49%,85%,71%,56%,71%,70%,2013-2014,P,D,P,P,P,13338.071942446044,2223.5424836601305,14596.513071895424,86.42058823529409,110.16339869281046,44.0990099009901,41.33102310231024
30Q445,83%,66%,44%,81%,69%,46%,85%,71%,56%,78%,73%,2012-2013,D,D,D,P,D,65319.479452054795,8617.467966573817,65820.87465181059,87.7476323119777,483.7353760445682,148.17052023121389,31.567052023121363
30Q301,99%,97%,80%,98%,96%,76%,85%,71%,56%,87%,96%,2013-2014,WD,WD,WD,WD,P,15207.04347826087,1068.1898016997168,15453.12747875354,93.5555240793201,101.24079320113314,18.35127478753541,17.86232294617564
30Q450,79%,59%,40%,76%,63%,43%,85%,71%,56%,87%,75%,2013-2014,WD,WD,P,WD,WD,60978.114285714284,10230.275609756098,52121.90487804878,83.73390243902438,399.8780487804878,175.98048780487804,43.81585365853662
30Q502,78%,67%,57%,82%,68%,49%,85%,71%,56%,73%,73%,2013-2014,P,D,D,P,P,27367.52153110048,3222.575596816976,26738.08222811671,88.99124668435016,187.41114058355438,56.96808510638298,31.327127659574458
30Q575,93%,92%,87%,93%,89%,91%,85%,71%,56%,70%,91%,2013-2014,WD,P,P,WD,P,26732.72463768116,2007.6308139534883,28640.06104651163,92.75145348837204,188.9593023255814,33.38953488372093,19.75697674418605
30Q580,100%,98%,92%,99%,98%,98%,85%,71%,56%,54%,96%,2013-2014,P,D,P,WD,D,12030.479087452472,454.73880597014926,13232.291044776119,96.30298507462693,79.46766169154229,4.17910447761194,6.218905472636817
31R064,89%,80%,68%,89%,91%,62%,84%,78%,60%,52%,89%,2013-2014,D,P,P,P,P,13032.073891625616,1342.6532507739937,12879.02786377709,90.28390092879258,89.20123839009288,24.75232198142415,28.08668730650155
31R080,90%,92%,79%,86%,91%,79%,84%,78%,60%,87%,85%,2012-2013,WD,P,WD,WD,WD,14032.941780821919,1077.390937829294,15069.528977871443,93.24099051633289,93.13593256059009,17.51746031746032,19.032169312169323
31R440,81%,73%,51%,75%,78%,54%,84%,78%,60%,79%,75%,2011-2012,WD,P,WD,WD,WD,81498.34615384616,10121.56090651558,81273.776203966,88.6835694050992,578.2379603399434,136.05982905982907,24.228205128205115
31R445,70%,61%,42%,75%,67%,43%,84%,78%,60%,82%,79%,2013-2014,P,P,P,P,P,44185.83732057416,6679.284263959391,40035.807106598986,85.60456852791874,304.0862944162437,113.01015228426395,36.845431472081216
31R450,78%,79%,51%,73%,80%,56%,84%,78%,60%,86%,69%,2013-2014,WD,P,WD,WD,WD,67719.66203703704,10947.036211699164,66529.07520891365,86.33955431754879,500.4456824512535,184.14529914529913,35.23133903133905
31R455,90%,83%,66%,90%,85%,66%,84%,78%,60%,91%,80%,2011-2012,WD,P,P,WD,WD,107083.60563380281,10387.018372703413,102896.79790026246,90.1593175853019,702.9186351706037,190.44179894179894,28.964550264550265
32K545,77%,70%,42%,86%,59%,53%,82%,68%,50%,78%,88%,2012-2013,D,D,D,P,D,15384.58762886598,2943.1966666666667,16176.256666666666,83.71133333333337,121.4,56.91,48.557333333333325
32K549,88%,55%,34%,88%,69%,31%,82%,68%,50%,73%,85%,2013-2014,P,P,D,P,P,11059.30174563591,2777.262195121951,10607.173780487805,78.97865853658537,89.13414634146342,50.72560975609756,56.86432926829269
